room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
14284765,73214881,Private room,NORTHWEST,ARBOUR LAKE,16,5.0,2,1.0,28.0,1.0,51.139116,-114.204809,2016-09-11 17:35:48.507378
3410929,17198178,Entire home/apt,CENTRE,BELTLINE,0,,2,0.0,159.0,1.0,51.03866,-114.069495,2016-09-11 17:31:04.435491
8351795,15098443,Private room,CENTRE,RAMSAY,16,5.0,2,1.0,52.0,2.0,51.031688,-114.045527,2016-09-11 17:25:43.954284
4383647,22758997,Entire home/apt,CENTRE,RAMSAY,86,5.0,4,2.0,95.0,2.0,51.033107,-114.04803,2016-09-11 17:25:40.492526
10801124,21258369,Private room,WEST,ROSSCARROCK,25,4.5,2,1.0,29.0,1.0,51.03939,-114.143842,2016-09-11 17:25:29.584901
5916281,29711333,Private room,NORTHEAST,FALCONRIDGE,30,5.0,4,1.0,44.0,1.0,51.102028,-113.937122,2016-09-11 17:25:21.924587
14359693,29463160,Entire home/apt,NORTHWEST,ARBOUR LAKE,3,5.0,4,1.0,55.0,2.0,51.143136,-114.188877,2016-09-11 17:25:12.779159
2159077,3149904,Entire home/apt,CENTRE,CRESCENT HEIGHTS,0,,2,1.0,118.0,2.0,51.053612,-114.057184,2016-09-11 17:25:11.900581
3251078,14520053,Entire home/apt,CENTRE,BELTLINE,35,4.5,2,1.0,65.0,2.0,51.041039,-114.072112,2016-09-11 17:25:08.592655
14965226,80923647,Entire home/apt,CENTRE,EAU CLAIRE,0,,2,2.0,118.0,7.0,51.051828,-114.077266,2016-09-11 17:25:05.912997
6991892,36657640,Entire home/apt,CENTRE,BELTLINE,0,,2,2.0,256.0,1.0,51.042323,-114.05942,2016-09-11 17:25:03.282301
14442627,87936565,Entire home/apt,SOUTH,HAYSBORO,0,,2,1.0,46.0,1.0,50.975356,-114.073869,2016-09-11 17:24:59.962210
6187517,20673598,Entire home/apt,NORTH,THORNCLIFFE,12,4.5,15,7.0,244.0,,51.107412,-114.063278,2016-09-11 17:24:58.413150
2895780,9931937,Entire home/apt,CENTRE,BELTLINE,34,5.0,2,1.0,87.0,3.0,51.040427,-114.07144,2016-09-11 17:24:57.398680
